original_split,data
train,/imgs/bj/t1/L81_00975_784295.jpg /imgs/bj/t2/L81_00975_784295.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00975_784295.png /building_labels/bj/t1/L81_00975_784295.png /building_labels/bj/t2/L81_00975_784295.png /offset_st_resize256/bj/t1/L81_00975_784295.tif /offset_st_resize256/bj/t2/L81_00975_784295.tif /flow_btv3_resize256/bj/t1VSt2/L81_00975_784295.tif
train,/imgs/bj/t2/L81_00711_784135.jpg /imgs/bj/t3/L81_00711_784135.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00711_784135.png /building_labels/bj/t2/L81_00711_784135.png /building_labels/bj/t3/L81_00711_784135.png /offset_st_resize256/bj/t2/L81_00711_784135.tif /offset_st_resize256/bj/t3/L81_00711_784135.tif /flow_btv3_resize256/bj/t2VSt3/L81_00711_784135.tif
train,/imgs/bj/t2/L81_00679_784191.jpg /imgs/bj/t3/L81_00679_784191.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00679_784191.png /building_labels/bj/t2/L81_00679_784191.png /building_labels/bj/t3/L81_00679_784191.png /offset_st_resize256/bj/t2/L81_00679_784191.tif /offset_st_resize256/bj/t3/L81_00679_784191.tif /flow_btv3_resize256/bj/t2VSt3/L81_00679_784191.tif
test,/imgs/bj/t1/L81_00647_784175.jpg /imgs/bj/t3/L81_00647_784175.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00647_784175.png /building_labels/bj/t1/L81_00647_784175.png /building_labels/bj/t3/L81_00647_784175.png
train,/imgs/sh/t1/L81_892839_780431.jpg /imgs/sh/t3/L81_892839_780431.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892839_780431.png /building_labels/sh/t1/L81_892839_780431.png /building_labels/sh/t3/L81_892839_780431.png /offset_st_resize256/sh/t1/L81_892839_780431.tif /offset_st_resize256/sh/t3/L81_892839_780431.tif /flow_btv3_resize256/sh/t1VSt3/L81_892839_780431.tif
train,/imgs/sh/t2/L81_892815_780431.jpg /imgs/sh/t3/L81_892815_780431.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892815_780431.png /building_labels/sh/t2/L81_892815_780431.png /building_labels/sh/t3/L81_892815_780431.png /offset_st_resize256/sh/t2/L81_892815_780431.tif /offset_st_resize256/sh/t3/L81_892815_780431.tif /flow_btv3_resize256/sh/t2VSt3/L81_892815_780431.tif
test,/imgs/bj/t1/L81_00831_784199.jpg /imgs/bj/t2/L81_00831_784199.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00831_784199.png /building_labels/bj/t1/L81_00831_784199.png /building_labels/bj/t2/L81_00831_784199.png
train,/imgs/bj/t2/L81_00655_784215.jpg /imgs/bj/t3/L81_00655_784215.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00655_784215.png /building_labels/bj/t2/L81_00655_784215.png /building_labels/bj/t3/L81_00655_784215.png /offset_st_resize256/bj/t2/L81_00655_784215.tif /offset_st_resize256/bj/t3/L81_00655_784215.tif /flow_btv3_resize256/bj/t2VSt3/L81_00655_784215.tif
train,/imgs/sh/t1/L81_892839_780487.jpg /imgs/sh/t2/L81_892839_780487.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892839_780487.png /building_labels/sh/t1/L81_892839_780487.png /building_labels/sh/t2/L81_892839_780487.png /offset_st_resize256/sh/t1/L81_892839_780487.tif /offset_st_resize256/sh/t2/L81_892839_780487.tif /flow_btv3_resize256/sh/t1VSt2/L81_892839_780487.tif
train,/imgs/bj/t1/L81_00647_783983.jpg /imgs/bj/t2/L81_00647_783983.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00647_783983.png /building_labels/bj/t1/L81_00647_783983.png /building_labels/bj/t2/L81_00647_783983.png /offset_st_resize256/bj/t1/L81_00647_783983.tif /offset_st_resize256/bj/t2/L81_00647_783983.tif /flow_btv3_resize256/bj/t1VSt2/L81_00647_783983.tif
val,/imgs/bj/t1/L81_00711_784215.jpg /imgs/bj/t3/L81_00711_784215.jpg /labels/bj/t1VSt3/L81_00711_784215.png /building_labels/bj/t1/L81_00711_784215.png /building_labels/bj/t3/L81_00711_784215.png /offset_st_resize256/bj/t1/L81_00711_784215.tif /offset_st_resize256/bj/t3/L81_00711_784215.tif /flow_btv3_resize256/bj/t1VSt3/L81_00711_784215.tif
train,/imgs/sh/t1/L81_892895_780471.jpg /imgs/sh/t3/L81_892895_780471.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892895_780471.png /building_labels/sh/t1/L81_892895_780471.png /building_labels/sh/t3/L81_892895_780471.png /offset_st_resize256/sh/t1/L81_892895_780471.tif /offset_st_resize256/sh/t3/L81_892895_780471.tif /flow_btv3_resize256/sh/t1VSt3/L81_892895_780471.tif
train,/imgs/sh/t1/L81_892919_780439.jpg /imgs/sh/t3/L81_892919_780439.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892919_780439.png /building_labels/sh/t1/L81_892919_780439.png /building_labels/sh/t3/L81_892919_780439.png /offset_st_resize256/sh/t1/L81_892919_780439.tif /offset_st_resize256/sh/t3/L81_892919_780439.tif /flow_btv3_resize256/sh/t1VSt3/L81_892919_780439.tif
train,/imgs/sh/t2/L81_892791_780423.jpg /imgs/sh/t3/L81_892791_780423.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892791_780423.png /building_labels/sh/t2/L81_892791_780423.png /building_labels/sh/t3/L81_892791_780423.png /offset_st_resize256/sh/t2/L81_892791_780423.tif /offset_st_resize256/sh/t3/L81_892791_780423.tif /flow_btv3_resize256/sh/t2VSt3/L81_892791_780423.tif
train,/imgs/bj/t1/L81_00655_784143.jpg /imgs/bj/t2/L81_00655_784143.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00655_784143.png /building_labels/bj/t1/L81_00655_784143.png /building_labels/bj/t2/L81_00655_784143.png /offset_st_resize256/bj/t1/L81_00655_784143.tif /offset_st_resize256/bj/t2/L81_00655_784143.tif /flow_btv3_resize256/bj/t1VSt2/L81_00655_784143.tif
train,/imgs/bj/t1/L81_00847_784247.jpg /imgs/bj/t2/L81_00847_784247.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00847_784247.png /building_labels/bj/t1/L81_00847_784247.png /building_labels/bj/t2/L81_00847_784247.png /offset_st_resize256/bj/t1/L81_00847_784247.tif /offset_st_resize256/bj/t2/L81_00847_784247.tif /flow_btv3_resize256/bj/t1VSt2/L81_00847_784247.tif
train,/imgs/sh/t1/L81_892791_780463.jpg /imgs/sh/t3/L81_892791_780463.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892791_780463.png /building_labels/sh/t1/L81_892791_780463.png /building_labels/sh/t3/L81_892791_780463.png /offset_st_resize256/sh/t1/L81_892791_780463.tif /offset_st_resize256/sh/t3/L81_892791_780463.tif /flow_btv3_resize256/sh/t1VSt3/L81_892791_780463.tif
train,/imgs/bj/t2/L81_00671_784231.jpg /imgs/bj/t3/L81_00671_784231.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00671_784231.png /building_labels/bj/t2/L81_00671_784231.png /building_labels/bj/t3/L81_00671_784231.png /offset_st_resize256/bj/t2/L81_00671_784231.tif /offset_st_resize256/bj/t3/L81_00671_784231.tif /flow_btv3_resize256/bj/t2VSt3/L81_00671_784231.tif
train,/imgs/bj/t1/L81_00831_784031.jpg /imgs/bj/t2/L81_00831_784031.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00831_784031.png /building_labels/bj/t1/L81_00831_784031.png /building_labels/bj/t2/L81_00831_784031.png /offset_st_resize256/bj/t1/L81_00831_784031.tif /offset_st_resize256/bj/t2/L81_00831_784031.tif /flow_btv3_resize256/bj/t1VSt2/L81_00831_784031.tif
train,/imgs/bj/t1/L81_00911_783983.jpg /imgs/bj/t2/L81_00911_783983.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00911_783983.png /building_labels/bj/t1/L81_00911_783983.png /building_labels/bj/t2/L81_00911_783983.png /offset_st_resize256/bj/t1/L81_00911_783983.tif /offset_st_resize256/bj/t2/L81_00911_783983.tif /flow_btv3_resize256/bj/t1VSt2/L81_00911_783983.tif
train,/imgs/bj/t2/L81_00823_784295.jpg /imgs/bj/t3/L81_00823_784295.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00823_784295.png /building_labels/bj/t2/L81_00823_784295.png /building_labels/bj/t3/L81_00823_784295.png /offset_st_resize256/bj/t2/L81_00823_784295.tif /offset_st_resize256/bj/t3/L81_00823_784295.tif /flow_btv3_resize256/bj/t2VSt3/L81_00823_784295.tif
train,/imgs/sh/t2/L81_892807_780423.jpg /imgs/sh/t3/L81_892807_780423.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892807_780423.png /building_labels/sh/t2/L81_892807_780423.png /building_labels/sh/t3/L81_892807_780423.png /offset_st_resize256/sh/t2/L81_892807_780423.tif /offset_st_resize256/sh/t3/L81_892807_780423.tif /flow_btv3_resize256/sh/t2VSt3/L81_892807_780423.tif
train,/imgs/bj/t1/L81_00679_784191.jpg /imgs/bj/t2/L81_00679_784191.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784191.png /building_labels/bj/t1/L81_00679_784191.png /building_labels/bj/t2/L81_00679_784191.png /offset_st_resize256/bj/t1/L81_00679_784191.tif /offset_st_resize256/bj/t2/L81_00679_784191.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784191.tif
val,/imgs/sh/t2/L81_892791_780519.jpg /imgs/sh/t3/L81_892791_780519.jpg /labels/sh/t2VSt3/L81_892791_780519.png /building_labels/sh/t2/L81_892791_780519.png /building_labels/sh/t3/L81_892791_780519.png /offset_st_resize256/sh/t2/L81_892791_780519.tif /offset_st_resize256/sh/t3/L81_892791_780519.tif /flow_btv3_resize256/sh/t2VSt3/L81_892791_780519.tif
train,/imgs/bj/t1/L81_00863_784167.jpg /imgs/bj/t2/L81_00863_784167.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00863_784167.png /building_labels/bj/t1/L81_00863_784167.png /building_labels/bj/t2/L81_00863_784167.png /offset_st_resize256/bj/t1/L81_00863_784167.tif /offset_st_resize256/bj/t2/L81_00863_784167.tif /flow_btv3_resize256/bj/t1VSt2/L81_00863_784167.tif
train,/imgs/bj/t1/L81_00679_784239.jpg /imgs/bj/t2/L81_00679_784239.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00679_784239.png /building_labels/bj/t1/L81_00679_784239.png /building_labels/bj/t2/L81_00679_784239.png /offset_st_resize256/bj/t1/L81_00679_784239.tif /offset_st_resize256/bj/t2/L81_00679_784239.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784239.tif
test,/imgs/bj/t2/L81_00679_784167.jpg /imgs/bj/t3/L81_00679_784167.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00679_784167.png /building_labels/bj/t2/L81_00679_784167.png /building_labels/bj/t3/L81_00679_784167.png
train,/imgs/bj/t1/L81_00639_784231.jpg /imgs/bj/t3/L81_00639_784231.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00639_784231.png /building_labels/bj/t1/L81_00639_784231.png /building_labels/bj/t3/L81_00639_784231.png /offset_st_resize256/bj/t1/L81_00639_784231.tif /offset_st_resize256/bj/t3/L81_00639_784231.tif /flow_btv3_resize256/bj/t1VSt3/L81_00639_784231.tif
train,/imgs/sh/t1/L81_892855_780495.jpg /imgs/sh/t2/L81_892855_780495.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892855_780495.png /building_labels/sh/t1/L81_892855_780495.png /building_labels/sh/t2/L81_892855_780495.png /offset_st_resize256/sh/t1/L81_892855_780495.tif /offset_st_resize256/sh/t2/L81_892855_780495.tif /flow_btv3_resize256/sh/t1VSt2/L81_892855_780495.tif
train,/imgs/bj/t2/L81_00671_784215.jpg /imgs/bj/t3/L81_00671_784215.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00671_784215.png /building_labels/bj/t2/L81_00671_784215.png /building_labels/bj/t3/L81_00671_784215.png /offset_st_resize256/bj/t2/L81_00671_784215.tif /offset_st_resize256/bj/t3/L81_00671_784215.tif /flow_btv3_resize256/bj/t2VSt3/L81_00671_784215.tif
train,/imgs/sh/t1/L81_892871_780439.jpg /imgs/sh/t2/L81_892871_780439.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892871_780439.png /building_labels/sh/t1/L81_892871_780439.png /building_labels/sh/t2/L81_892871_780439.png /offset_st_resize256/sh/t1/L81_892871_780439.tif /offset_st_resize256/sh/t2/L81_892871_780439.tif /flow_btv3_resize256/sh/t1VSt2/L81_892871_780439.tif
train,/imgs/bj/t1/L81_00711_784159.jpg /imgs/bj/t3/L81_00711_784159.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00711_784159.png /building_labels/bj/t1/L81_00711_784159.png /building_labels/bj/t3/L81_00711_784159.png /offset_st_resize256/bj/t1/L81_00711_784159.tif /offset_st_resize256/bj/t3/L81_00711_784159.tif /flow_btv3_resize256/bj/t1VSt3/L81_00711_784159.tif
train,/imgs/bj/t2/L81_00871_784263.jpg /imgs/bj/t3/L81_00871_784263.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00871_784263.png /building_labels/bj/t2/L81_00871_784263.png /building_labels/bj/t3/L81_00871_784263.png /offset_st_resize256/bj/t2/L81_00871_784263.tif /offset_st_resize256/bj/t3/L81_00871_784263.tif /flow_btv3_resize256/bj/t2VSt3/L81_00871_784263.tif
train,/imgs/sh/t1/L81_892887_780439.jpg /imgs/sh/t3/L81_892887_780439.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892887_780439.png /building_labels/sh/t1/L81_892887_780439.png /building_labels/sh/t3/L81_892887_780439.png /offset_st_resize256/sh/t1/L81_892887_780439.tif /offset_st_resize256/sh/t3/L81_892887_780439.tif /flow_btv3_resize256/sh/t1VSt3/L81_892887_780439.tif
val,/imgs/bj/t1/L81_00679_784095.jpg /imgs/bj/t2/L81_00679_784095.jpg /labels/bj/t1VSt2/L81_00679_784095.png /building_labels/bj/t1/L81_00679_784095.png /building_labels/bj/t2/L81_00679_784095.png /offset_st_resize256/bj/t1/L81_00679_784095.tif /offset_st_resize256/bj/t2/L81_00679_784095.tif /flow_btv3_resize256/bj/t1VSt2/L81_00679_784095.tif
train,/imgs/sh/t2/L81_892831_780471.jpg /imgs/sh/t3/L81_892831_780471.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892831_780471.png /building_labels/sh/t2/L81_892831_780471.png /building_labels/sh/t3/L81_892831_780471.png /offset_st_resize256/sh/t2/L81_892831_780471.tif /offset_st_resize256/sh/t3/L81_892831_780471.tif /flow_btv3_resize256/sh/t2VSt3/L81_892831_780471.tif
train,/imgs/bj/t1/L81_00639_784271.jpg /imgs/bj/t2/L81_00639_784271.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00639_784271.png /building_labels/bj/t1/L81_00639_784271.png /building_labels/bj/t2/L81_00639_784271.png /offset_st_resize256/bj/t1/L81_00639_784271.tif /offset_st_resize256/bj/t2/L81_00639_784271.tif /flow_btv3_resize256/bj/t1VSt2/L81_00639_784271.tif
train,/imgs/sh/t2/L81_892823_780495.jpg /imgs/sh/t3/L81_892823_780495.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892823_780495.png /building_labels/sh/t2/L81_892823_780495.png /building_labels/sh/t3/L81_892823_780495.png /offset_st_resize256/sh/t2/L81_892823_780495.tif /offset_st_resize256/sh/t3/L81_892823_780495.tif /flow_btv3_resize256/sh/t2VSt3/L81_892823_780495.tif
val,/imgs/sh/t1/L81_892871_780519.jpg /imgs/sh/t2/L81_892871_780519.jpg /labels/sh/t1VSt2/L81_892871_780519.png /building_labels/sh/t1/L81_892871_780519.png /building_labels/sh/t2/L81_892871_780519.png /offset_st_resize256/sh/t1/L81_892871_780519.tif /offset_st_resize256/sh/t2/L81_892871_780519.tif /flow_btv3_resize256/sh/t1VSt2/L81_892871_780519.tif
train,/imgs/bj/t2/L81_00831_784167.jpg /imgs/bj/t3/L81_00831_784167.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00831_784167.png /building_labels/bj/t2/L81_00831_784167.png /building_labels/bj/t3/L81_00831_784167.png /offset_st_resize256/bj/t2/L81_00831_784167.tif /offset_st_resize256/bj/t3/L81_00831_784167.tif /flow_btv3_resize256/bj/t2VSt3/L81_00831_784167.tif
train,/imgs/sh/t1/L81_892863_780431.jpg /imgs/sh/t3/L81_892863_780431.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892863_780431.png /building_labels/sh/t1/L81_892863_780431.png /building_labels/sh/t3/L81_892863_780431.png /offset_st_resize256/sh/t1/L81_892863_780431.tif /offset_st_resize256/sh/t3/L81_892863_780431.tif /flow_btv3_resize256/sh/t1VSt3/L81_892863_780431.tif
train,/imgs/bj/t1/L81_00671_784063.jpg /imgs/bj/t2/L81_00671_784063.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00671_784063.png /building_labels/bj/t1/L81_00671_784063.png /building_labels/bj/t2/L81_00671_784063.png /offset_st_resize256/bj/t1/L81_00671_784063.tif /offset_st_resize256/bj/t2/L81_00671_784063.tif /flow_btv3_resize256/bj/t1VSt2/L81_00671_784063.tif
val,/imgs/sh/t2/L81_892895_780511.jpg /imgs/sh/t3/L81_892895_780511.jpg /labels/sh/t2VSt3/L81_892895_780511.png /building_labels/sh/t2/L81_892895_780511.png /building_labels/sh/t3/L81_892895_780511.png /offset_st_resize256/sh/t2/L81_892895_780511.tif /offset_st_resize256/sh/t3/L81_892895_780511.tif /flow_btv3_resize256/sh/t2VSt3/L81_892895_780511.tif
train,/imgs/bj/t2/L81_00671_784127.jpg /imgs/bj/t3/L81_00671_784127.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00671_784127.png /building_labels/bj/t2/L81_00671_784127.png /building_labels/bj/t3/L81_00671_784127.png /offset_st_resize256/bj/t2/L81_00671_784127.tif /offset_st_resize256/bj/t3/L81_00671_784127.tif /flow_btv3_resize256/bj/t2VSt3/L81_00671_784127.tif
train,/imgs/bj/t1/L81_00887_783999.jpg /imgs/bj/t3/L81_00887_783999.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00887_783999.png /building_labels/bj/t1/L81_00887_783999.png /building_labels/bj/t3/L81_00887_783999.png /offset_st_resize256/bj/t1/L81_00887_783999.tif /offset_st_resize256/bj/t3/L81_00887_783999.tif /flow_btv3_resize256/bj/t1VSt3/L81_00887_783999.tif
test,/imgs/bj/t2/L81_00687_784271.jpg /imgs/bj/t3/L81_00687_784271.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00687_784271.png /building_labels/bj/t2/L81_00687_784271.png /building_labels/bj/t3/L81_00687_784271.png
test,/imgs/sh/t2/L81_892887_780503.jpg /imgs/sh/t3/L81_892887_780503.jpg /labels_unch0ch1ig255/sh/t2VSt3/L81_892887_780503.png /building_labels/sh/t2/L81_892887_780503.png /building_labels/sh/t3/L81_892887_780503.png
train,/imgs/bj/t1/L81_00839_784103.jpg /imgs/bj/t2/L81_00839_784103.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00839_784103.png /building_labels/bj/t1/L81_00839_784103.png /building_labels/bj/t2/L81_00839_784103.png /offset_st_resize256/bj/t1/L81_00839_784103.tif /offset_st_resize256/bj/t2/L81_00839_784103.tif /flow_btv3_resize256/bj/t1VSt2/L81_00839_784103.tif
test,/imgs/bj/t1/L81_00663_784127.jpg /imgs/bj/t2/L81_00663_784127.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00663_784127.png /building_labels/bj/t1/L81_00663_784127.png /building_labels/bj/t2/L81_00663_784127.png
val,/imgs/sh/t2/L81_892919_780447.jpg /imgs/sh/t3/L81_892919_780447.jpg /labels/sh/t2VSt3/L81_892919_780447.png /building_labels/sh/t2/L81_892919_780447.png /building_labels/sh/t3/L81_892919_780447.png /offset_st_resize256/sh/t2/L81_892919_780447.tif /offset_st_resize256/sh/t3/L81_892919_780447.tif /flow_btv3_resize256/sh/t2VSt3/L81_892919_780447.tif
train,/imgs/bj/t1/L81_00655_784247.jpg /imgs/bj/t2/L81_00655_784247.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00655_784247.png /building_labels/bj/t1/L81_00655_784247.png /building_labels/bj/t2/L81_00655_784247.png /offset_st_resize256/bj/t1/L81_00655_784247.tif /offset_st_resize256/bj/t2/L81_00655_784247.tif /flow_btv3_resize256/bj/t1VSt2/L81_00655_784247.tif
test,/imgs/sh/t1/L81_892887_780527.jpg /imgs/sh/t3/L81_892887_780527.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892887_780527.png /building_labels/sh/t1/L81_892887_780527.png /building_labels/sh/t3/L81_892887_780527.png
train,/imgs/sh/t1/L81_892895_780431.jpg /imgs/sh/t3/L81_892895_780431.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892895_780431.png /building_labels/sh/t1/L81_892895_780431.png /building_labels/sh/t3/L81_892895_780431.png /offset_st_resize256/sh/t1/L81_892895_780431.tif /offset_st_resize256/sh/t3/L81_892895_780431.tif /flow_btv3_resize256/sh/t1VSt3/L81_892895_780431.tif
train,/imgs/sh/t1/L81_892839_780503.jpg /imgs/sh/t2/L81_892839_780503.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892839_780503.png /building_labels/sh/t1/L81_892839_780503.png /building_labels/sh/t2/L81_892839_780503.png /offset_st_resize256/sh/t1/L81_892839_780503.tif /offset_st_resize256/sh/t2/L81_892839_780503.tif /flow_btv3_resize256/sh/t1VSt2/L81_892839_780503.tif
test,/imgs/bj/t1/L81_00671_784263.jpg /imgs/bj/t3/L81_00671_784263.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00671_784263.png /building_labels/bj/t1/L81_00671_784263.png /building_labels/bj/t3/L81_00671_784263.png
train,/imgs/bj/t1/L81_00711_784079.jpg /imgs/bj/t2/L81_00711_784079.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00711_784079.png /building_labels/bj/t1/L81_00711_784079.png /building_labels/bj/t2/L81_00711_784079.png /offset_st_resize256/bj/t1/L81_00711_784079.tif /offset_st_resize256/bj/t2/L81_00711_784079.tif /flow_btv3_resize256/bj/t1VSt2/L81_00711_784079.tif
train,/imgs/bj/t2/L81_00639_784207.jpg /imgs/bj/t3/L81_00639_784207.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00639_784207.png /building_labels/bj/t2/L81_00639_784207.png /building_labels/bj/t3/L81_00639_784207.png /offset_st_resize256/bj/t2/L81_00639_784207.tif /offset_st_resize256/bj/t3/L81_00639_784207.tif /flow_btv3_resize256/bj/t2VSt3/L81_00639_784207.tif
train,/imgs/bj/t2/L81_00991_784143.jpg /imgs/bj/t3/L81_00991_784143.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00991_784143.png /building_labels/bj/t2/L81_00991_784143.png /building_labels/bj/t3/L81_00991_784143.png /offset_st_resize256/bj/t2/L81_00991_784143.tif /offset_st_resize256/bj/t3/L81_00991_784143.tif /flow_btv3_resize256/bj/t2VSt3/L81_00991_784143.tif
train,/imgs/sh/t1/L81_892911_780511.jpg /imgs/sh/t2/L81_892911_780511.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892911_780511.png /building_labels/sh/t1/L81_892911_780511.png /building_labels/sh/t2/L81_892911_780511.png /offset_st_resize256/sh/t1/L81_892911_780511.tif /offset_st_resize256/sh/t2/L81_892911_780511.tif /flow_btv3_resize256/sh/t1VSt2/L81_892911_780511.tif
train,/imgs/bj/t1/L81_00679_784223.jpg /imgs/bj/t3/L81_00679_784223.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00679_784223.png /building_labels/bj/t1/L81_00679_784223.png /building_labels/bj/t3/L81_00679_784223.png /offset_st_resize256/bj/t1/L81_00679_784223.tif /offset_st_resize256/bj/t3/L81_00679_784223.tif /flow_btv3_resize256/bj/t1VSt3/L81_00679_784223.tif
train,/imgs/bj/t2/L81_00831_784039.jpg /imgs/bj/t3/L81_00831_784039.jpg /labels_unch0ch1ig255/bj/t2VSt3/L81_00831_784039.png /building_labels/bj/t2/L81_00831_784039.png /building_labels/bj/t3/L81_00831_784039.png /offset_st_resize256/bj/t2/L81_00831_784039.tif /offset_st_resize256/bj/t3/L81_00831_784039.tif /flow_btv3_resize256/bj/t2VSt3/L81_00831_784039.tif
train,/imgs/sh/t1/L81_892823_780495.jpg /imgs/sh/t2/L81_892823_780495.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892823_780495.png /building_labels/sh/t1/L81_892823_780495.png /building_labels/sh/t2/L81_892823_780495.png /offset_st_resize256/sh/t1/L81_892823_780495.tif /offset_st_resize256/sh/t2/L81_892823_780495.tif /flow_btv3_resize256/sh/t1VSt2/L81_892823_780495.tif
train,/imgs/bj/t1/L81_00639_784239.jpg /imgs/bj/t2/L81_00639_784239.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00639_784239.png /building_labels/bj/t1/L81_00639_784239.png /building_labels/bj/t2/L81_00639_784239.png /offset_st_resize256/bj/t1/L81_00639_784239.tif /offset_st_resize256/bj/t2/L81_00639_784239.tif /flow_btv3_resize256/bj/t1VSt2/L81_00639_784239.tif
train,/imgs/bj/t1/L81_00951_784287.jpg /imgs/bj/t3/L81_00951_784287.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00951_784287.png /building_labels/bj/t1/L81_00951_784287.png /building_labels/bj/t3/L81_00951_784287.png /offset_st_resize256/bj/t1/L81_00951_784287.tif /offset_st_resize256/bj/t3/L81_00951_784287.tif /flow_btv3_resize256/bj/t1VSt3/L81_00951_784287.tif
test,/imgs/sh/t1/L81_892895_780439.jpg /imgs/sh/t3/L81_892895_780439.jpg /labels_unch0ch1ig255/sh/t1VSt3/L81_892895_780439.png /building_labels/sh/t1/L81_892895_780439.png /building_labels/sh/t3/L81_892895_780439.png
train,/imgs/bj/t1/L81_00687_784071.jpg /imgs/bj/t3/L81_00687_784071.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00687_784071.png /building_labels/bj/t1/L81_00687_784071.png /building_labels/bj/t3/L81_00687_784071.png /offset_st_resize256/bj/t1/L81_00687_784071.tif /offset_st_resize256/bj/t3/L81_00687_784071.tif /flow_btv3_resize256/bj/t1VSt3/L81_00687_784071.tif
train,/imgs/sh/t1/L81_892799_780479.jpg /imgs/sh/t2/L81_892799_780479.jpg /labels_unch0ch1ig255/sh/t1VSt2/L81_892799_780479.png /building_labels/sh/t1/L81_892799_780479.png /building_labels/sh/t2/L81_892799_780479.png /offset_st_resize256/sh/t1/L81_892799_780479.tif /offset_st_resize256/sh/t2/L81_892799_780479.tif /flow_btv3_resize256/sh/t1VSt2/L81_892799_780479.tif
train,/imgs/bj/t1/L81_00871_784263.jpg /imgs/bj/t2/L81_00871_784263.jpg /labels_unch0ch1ig255/bj/t1VSt2/L81_00871_784263.png /building_labels/bj/t1/L81_00871_784263.png /building_labels/bj/t2/L81_00871_784263.png /offset_st_resize256/bj/t1/L81_00871_784263.tif /offset_st_resize256/bj/t2/L81_00871_784263.tif /flow_btv3_resize256/bj/t1VSt2/L81_00871_784263.tif
train,/imgs/bj/t1/L81_00655_784191.jpg /imgs/bj/t3/L81_00655_784191.jpg /labels_unch0ch1ig255/bj/t1VSt3/L81_00655_784191.png /building_labels/bj/t1/L81_00655_784191.png /building_labels/bj/t3/L81_00655_784191.png /offset_st_resize256/bj/t1/L81_00655_784191.tif /offset_st_resize256/bj/t3/L81_00655_784191.tif /flow_btv3_resize256/bj/t1VSt3/L81_00655_784191.tif
